"node_name","node_disp_name","ntype","degree","weighted_degree","consensus_lin","BarcodeSequence","library_construction_protocol","pool_member_name_renamed","study_ref_renamed","age","ancestry","anonymized_name","family","host_subject_id","individual","obesitycat","sampledate","twin_mother","zygosity"
"125624","","otu_node","60","200.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"12727","","otu_node","2","3.0","k__Bacteria:p__Actinobacteria:c__Actinobacteria:o__Actinomycetales:f__Propionibacteriaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"128227","","otu_node","2","4.0","k__Bacteria:p__Firmicutes:c__Bacilli:o__Lactobacillales:f__Lactobacillaceae:g__Lactobacillus","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"128297","","otu_node","2","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"129692","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__[Ruminococcus]","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"129761","","otu_node","2","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"129990","","otu_node","0","0.0","k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__S24-7:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"130048","","otu_node","0","0.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"130103","","otu_node","5","9.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Dorea","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"130663","","otu_node","9","19.0","k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Bacteroidaceae:g__Bacteroides","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"130763","","otu_node","2","2.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"132114","","otu_node","3","5.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Clostridiaceae:g__Clostridium","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"132253","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"132657","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"134265","","otu_node","2","3.0","k__Bacteria:p__Bacteroidetes:c__Bacteroidia:o__Bacteroidales:f__Prevotellaceae:g__Prevotella","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"134365","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"136526","","otu_node","2","3.0","k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"136686","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__[Ruminococcus]","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"137209","","otu_node","5","5.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"137353","","otu_node","2","2.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Coprococcus","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"13986","","otu_node","3","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"143423","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"145401","","otu_node","2","2.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Blautia","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"145572","","otu_node","60","138.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"145575","","otu_node","19","39.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Blautia","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"145801","","otu_node","39","211.0","k__Bacteria:p__Firmicutes:c__Erysipelotrichi:o__Erysipelotrichales:f__Erysipelotrichaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"145856","","otu_node","3","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__[Mogibacteriaceae]:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"146086","","otu_node","2","2.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"146554","","otu_node","42","429.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Ruminococcus","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"146564","","otu_node","7","9.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"146586","","otu_node","14","25.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Oscillospira","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"147085","","otu_node","20","41.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"147100","","otu_node","2","2.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"147105","","otu_node","3","4.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Blautia","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"147195","","otu_node","1","1.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Coprococcus","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"147969","","otu_node","11","43.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__Ruminococcus","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"148067","","otu_node","3","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"148279","","otu_node","5","5.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__Blautia","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"148352","","otu_node","25","50.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Ruminococcaceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"148722","","otu_node","7","66.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"149131","","otu_node","3","3.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Lachnospiraceae:g__","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
"149335","","otu_node","4","8.0","k__Bacteria:p__Firmicutes:c__Clostridia:o__Clostridiales:f__Veillonellaceae:g__Mitsuokella","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu","otu"
